tt0033379	movie	The Bashful Bachelor	The Bashful Bachelor	0	1942	\N	78	Comedy
tt0033425	movie	Border Vigilantes	Border Vigilantes	0	1941	\N	63	Action,Adventure,Western
tt0033478	movie	Come on Danger	Come on Danger	0	1942	\N	59	Action,Adventure,Drama
tt0033582	movie	The Face Behind the Mask	The Face Behind the Mask	0	1941	\N	69	Crime,Drama,Film-Noir
tt0033616	movie	Footsteps in the Dark	Footsteps in the Dark	0	1941	\N	96	Comedy,Crime,Mystery
tt0033636	short	From the Four Corners	From the Four Corners	0	1942	\N	15	Drama,Short
tt0033683	movie	The Gunman from Bodie	The Gunman from Bodie	0	1941	\N	62	Western
tt0033696	movie	Hay Foot	Hay Foot	0	1942	\N	48	Comedy,Romance
tt0033756	short	Inki and the Lion	Inki and the Lion	0	1941	\N	7	Animation,Comedy,Family
tt0033758	movie	International Lady	International Lady	0	1941	\N	102	Action,Adventure,Drama
tt0033773	short	Joe Glow, the Firefly	Joe Glow, the Firefly	0	1941	\N	7	Animation,Comedy,Family
tt0033836	movie	The Little Foxes	The Little Foxes	0	1941	\N	116	Drama,Romance
tt0033865	short	Mail Early for Xmas	Mail Early for Xmas	0	1959	\N	2	Animation,Short
tt0033902	movie	Men of Boys Town	Men of Boys Town	0	1941	\N	106	Drama
tt0033918	movie	Moon Over Miami	Moon Over Miami	0	1941	\N	91	Comedy,Musical,Romance
tt0034046	short	Porky's Ant	Porky's Ant	0	1941	\N	7	Animation,Comedy,Family
tt0034117	movie	Roar of the Press	Roar of the Press	0	1941	\N	71	Adventure,Comedy,Crime
tt0034121	short	Robinson Crusoe Jr.	Robinson Crusoe Jr.	0	1941	\N	8	Animation,Comedy,Family
tt0034195	movie	Six-Gun Gold	Six-Gun Gold	0	1941	\N	57	Action,Music,Western
tt0034207	short	Snow Time for Comedy	Snow Time for Comedy	0	1941	\N	7	Animation,Comedy,Family
tt0034298	movie	The Brothers and Sisters of the Toda Family	Todake no kyôdai	0	1941	\N	105	Drama
tt0034299	movie	Tom, Dick and Harry	Tom, Dick and Harry	0	1941	\N	87	Comedy,Fantasy,Romance
tt0034424	movie	A-Haunting We Will Go	A-Haunting We Will Go	0	1942	\N	67	Adventure,Comedy
tt0034622	movie	Crossroads	Crossroads	0	1942	\N	83	Crime,Drama,Film-Noir
tt0034656	short	Dog Tired	Dog Tired	0	1942	\N	7	Animation,Comedy,Family
